TAG,TAG_Week,cave_origin,sex,age,weight,FA,pregnency,testis
4978,4978_26,Har Gershom,F,A,129,91.2,NA,NA
5011,5011_26,Zemer cave,M,J,91,81.8,NA,xs
5011,5011_27,Zemer cave,M,J,91,81.8,NA,xs
5013,5013_27,Har Gershom,F,J,74,78.5,NA,NA
5013,5013_26,Har Gershom,F,J,74,78.5,NA,NA
5015,5015_27,multiple,M,J,91,81.8,NA,xs
5015,5015_26,Har Gershom,M,J,91,81.8,NA,xs
5016,5016_27,temporary,M,J,80,79.4,NA,xs
5016,5016_26,temporary,M,J,80,79.4,NA,xs
5017,5017_26,multiple,M,J,89,80.4,NA,?
5018,5018_26,Har Gershom,M,J,77,NA,NA,xs
5018,5018_27,Har Gershom,M,J,77,NA,NA,xs
5019,5019_27,Har Gershom,F,J,82,88.5,NA,NA
5019,5019_26,Har Gershom,F,J,82,88.5,NA,NA
5021,5021_27,Har Gershom,M,J,86,82.5,NA,xs
5021,5021_26,Har Gershom,M,J,86,82.5,NA,xs
5022,5022_26,Har Gershom,M,J,85,83.4,NA,xs
5022,5022_27,Har Gershom,M,J,85,83.4,NA,xs
5150,5150_30,Zemer cave,M,A,160,98,NA,M
5150,5150_31,Zemer cave,M,A,160,98,NA,M
5150,5150_29,multiple,M,A,160,98,NA,M
5153,5153_30,multiple,M,A,149,93.7,NA,L
5153,5153_29,multiple,M,A,149,93.7,NA,L
5154,5154_30,temporary,M,SA,133,93.5,NA,M
5154,5154_31,temporary,M,SA,133,93.5,NA,M
5154,5154_29,multiple,M,SA,133,93.5,NA,M
5157,5157_29,Har Gershom,F,A,157,93.3,mid,NA
5157,5157_30,Einan,F,A,157,93.3,mid,NA
5431,5431_35,temporary,M,A,164,93.4,NA,13.2
5431,5431_34,temporary,M,A,164,93.4,NA,13.2
5433,5433_34,temporary,M,A,157,95.5,NA,12.6
5463,5463_36,temporary,M,J,NA,89,NA,xs
5463,5463_37,temporary,M,J,NA,89,NA,xs
5465,5465_37,Har Gershom,F,A,156,92.8,no,NA
5468,5468_36,Einan,M,SA,161,96.2,NA,11.5
5468,5468_37,Har Gershom,M,SA,161,96.2,NA,11.5
6027,6027_45,Har Gershom,M,SA,112,86.9,NA,xs
6039,6039_46,Har Gershom,NA,J,121,NA,NA,NA
6039,6039_45,Har Gershom,NA,J,121,NA,NA,NA
5056,5056_48,Har Gershom,M,A,145,93.9,NA,L
5056,5056_49,Har Gershom,M,A,145,93.9,NA,L
5056,5056_47,Har Gershom,M,A,145,93.9,NA,L
5056,5056_50,Har Gershom,M,A,145,93.9,NA,L
5056,5056_51,Har Gershom,M,A,145,93.9,NA,L
5056,5056_52,Har Gershom,M,A,145,93.9,NA,L
