"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"1","4444","4429","Mulberry_755",2018-04-25,0,0,1,0,2,"yes","c(""Carob"", ""Palm"")"
"2","4445","4440","None",2018-04-19,0.25,0.75,4,1,4,"yes","c(""Palm"", ""Carob"", ""Ficus sycomorus"")"
"3","4444","4440","None",2018-04-18,0,0.83,6,0,2,"yes","c(""Carob"", ""Palm"")"
"4","4445","4442","None",2018-04-19,0,0.5,2,0,4,"no","c(""Palm"", ""Carob"", ""Ficus sycomorus"")"
"5","4444","4442","None",2018-04-21,0.25,0,2,1,4,"no","c(""Carob"", ""Palm"")"
"6","4445","4444","None",2018-04-19,0.25,0.5,8,1,4,"yes","c(""Palm"", ""Carob"", ""Ficus sycomorus"")"
"7","4442","4445","None",2018-04-19,0,0.5,2,0,1,"no","Palm"
"8","4444","4445","None",2018-04-19,0.2,0.5,8,1,5,"yes","c(""Carob"", ""Palm"")"
"9","4577","4576","None",2018-03-17,0,0,2,0,6,"no","c(""Palm"", ""Ficus religiosa"")"
"10","5017","5013","unknown_331",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"11","5022","5013","Ficus religiosa_19",2018-06-30,1,1,4,1,1,"no","c(""Ficus religiosa"", ""Carob"")"
"12","5018","5013","unknown_331",2018-06-28,0,0.8,5,0,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"13","5016","5013","Ficus religiosa_17",2018-06-29,0,0.5,6,0,1,"yes","Ficus religiosa"
"14","5018","5015","Mulberry_768",2018-06-29,0.5,0.25,4,1,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"15","5013","5015","None",2018-06-29,0.5,0.6,5,1,2,"yes","c(""Ficus religiosa"", ""Carob"")"
"16","5016","5015","None",2018-07-01,0,0.5,2,0,1,"yes","Ficus religiosa"
"17","5017","5016","unknown_331",2018-06-28,0,1,3,0,2,"no","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"18","5018","5016","unknown_331",2018-06-28,0,0.8,5,0,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"19","5013","5016","Ficus religiosa_17",2018-06-29,0.5,0.5,6,1,2,"no","c(""Ficus religiosa"", ""Carob"")"
"20","5022","5017","None",2018-06-29,0,1,1,0,1,"no","c(""Ficus religiosa"", ""Carob"")"
"21","5018","5017","unknown_331",2018-06-28,0,0.33,3,0,2,"no","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"22","5013","5017","unknown_331",2018-06-28,0,0.5,2,0,3,"no","c(""Ficus religiosa"", ""Carob"")"
"23","5016","5017","unknown_331",2018-06-28,0,0,3,0,2,"no","Ficus religiosa"
"24","5019","5017","Mulberry_350",2018-06-28,0.5,0.25,4,1,2,"no","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"25","5017","5018","unknown_331",2018-06-28,0,0.67,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"26","5013","5018","unknown_331",2018-06-28,0.33,0.2,5,1,3,"yes","c(""Ficus religiosa"", ""Carob"")"
"27","5016","5018","unknown_331",2018-06-28,0.5,0.2,5,1,2,"yes","Ficus religiosa"
"28","5017","5019","Mulberry_350",2018-06-28,0,0.75,4,0,2,"no","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"29","5018","5019","unknown_331",2018-06-30,0.5,0.33,6,1,2,"no","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"30","5013","5019","Ficus religiosa_17",2018-06-29,0.5,0.5,4,1,2,"no","c(""Ficus religiosa"", ""Carob"")"
"31","5016","5019","Ficus religiosa_17",2018-06-29,1,0.5,4,1,1,"no","Ficus religiosa"
"32","5018","5021","Ficus religiosa_19",2018-06-28,0,0.33,3,0,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"33","5013","5021","Ficus religiosa_19",2018-06-30,0,0,1,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"34","5016","5021","Ficus religiosa_19",2018-07-01,0,0,2,0,1,"yes","Ficus religiosa"
"35","5019","5021","Ficus religiosa_19",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"36","5018","5022","Ficus religiosa_19",2018-06-28,0.5,0.14,7,1,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"37","5013","5022","Ficus religiosa_19",2018-06-30,0,0,4,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"38","5016","5022","unknown_1091",2018-06-28,0.5,0,3,1,2,"yes","Ficus religiosa"
"39","5019","5022","Ficus religiosa_19",2018-06-28,0.5,0.2,5,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"40","5462","5056","Melia azedarach_437",2018-11-25,0,0.67,3,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
