"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"1","4419","4408","None",2018-05-21,0,1,1,0,11,"yes","c(""Ficus carica"", ""Mulberry"", ""UK"", ""Avocado"")"
"2","4441","4408","Mulberry_734",2018-05-22,0,1,1,0,1,"yes","c(""Mulberry"", ""UK"")"
"3","4448","4408","Mulberry_734",2018-05-25,0,0,1,0,6,"yes","c(""Mulberry"", ""UK"")"
"4","4424","4419","None",2018-05-06,0.04,0.67,3,1,24,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"", ""Peach"")"
"5","4453","4419","None",2018-05-11,0,1,1,0,3,"yes","c(""Mulberry"", ""UK"")"
"6","4408","4419","None",2018-05-21,0,0,1,0,4,"yes","c(""Ficus carica"", ""Mulberry"", ""UK"")"
"7","4435","4419","None",2018-05-21,0,0,1,0,3,"yes","c(""UK"", ""Ficus carica"", ""Mulberry"")"
"8","4448","4419","None",2018-05-25,0,0,1,0,6,"yes","c(""Mulberry"", ""UK"")"
"9","4440","4424","None",2018-05-04,0,1,5,0,4,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"", ""Avocado"")"
"10","4454","4424","Mulberry_731",2018-05-04,0,1,1,0,1,"yes","c(""Mulberry"", ""Palm"", ""UK"", ""Ficus carica"")"
"11","4449","4424","Mulberry_706",2018-05-09,0,0,2,0,9,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"", ""Plum"")"
"12","4419","4424","None",2018-05-06,0,0.33,3,0,6,"yes","c(""Ficus carica"", ""Mulberry"", ""UK"", ""Eucalyptus"")"
"13","4444","4429","Mulberry_755",2018-04-25,0,0,1,0,5,"yes","c(""Ficus carica"", ""Carob"", ""Ficus benjamina"", ""Mulberry"", ""UK"", ""Palm"", ""Annona"", ""Loquat"")"
"14","4440","4429","Ficus carica_733",2018-04-18,0.09,0.33,3,1,11,"yes","c(""Mulberry"", ""Ficus carica"", ""Carob"", ""Plum"", ""UK"", ""Avocado"", ""Eucalyptus"")"
"15","4449","4429","Mulberry_755",2018-05-05,0,0,2,0,11,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"")"
"16","4455","4432","Mulberry_655",2018-06-11,0,1,1,0,3,"yes","c(""Mulberry"", ""UK"", ""Loquat"")"
"17","4446","4432","Mulberry_655",2018-06-11,0,1,1,0,3,"yes","c(""Mulberry"", ""Washingtonia"", ""UK"")"
"18","4439","4432","Mulberry_655",2018-06-11,0,1,1,0,12,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"", ""Maish"")"
"19","4419","4435","None",2018-05-21,0,1,1,0,11,"no","c(""Ficus carica"", ""Mulberry"", ""UK"", ""Avocado"")"
"20","4432","4439","Mulberry_655",2018-06-11,0,0,1,0,2,"yes","Mulberry"
"21","4455","4439","Mulberry_655",2018-06-07,0,0,1,0,7,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"")"
"22","4446","4439","Mulberry_655",2018-06-07,0,0,1,0,1,"yes","c(""Mulberry"", ""UK"")"
"23","4445","4440","None",2018-04-19,0.06,0.75,4,1,18,"yes","c(""UK"", ""Palm"", ""Mulberry"", ""Ficus carica"", ""Loquat"", ""Melia azedarach"", ""Washingtonia"", ""Carob"", ""Annona"", ""Banana"", ""Cherry plum"", ""Ficus sycomorus"")"
"24","4444","4440","None",2018-04-18,0,0.83,6,0,16,"yes","c(""Ficus carica"", ""Carob"", ""Melia azedarach"", ""Mulberry"", ""Washingtonia"", ""Citrus"", ""Annona"", ""UK"", ""Loquat"", ""Palm"")"
