tags,Visited,When?,Cave origin,date_manipulation,Nights_after_manipulation,visit_start,visit_end,time_of_visit,n_trees_before_same night,n_trees_before_all_nights,n_trees_after_night,Explored_more_that_night
6637,yes,23/06/2020,manipulation- zemer,22/06/2020,1,19:39:17,19:40:29,00:01:12,3,4,1,yes
6654,yes,23/06/2020,manipulation- zemer/gershom,22/06/2020,1,21:15:26,21:41:02,00:25:36,5,6,1,yes
6639,yes,23/06/2020,manipulation- zemer/gershom,22/06/2020,1,18:19:10,18:21:50,00:02:40,0,2,3,yes
6399,yes,24/06/2020,Gerhsom,22/06/2020,2,19:12:04,19:17:16,00:05:12,1,8,2,no
6411,yes,23/06/2020,Gerhsom,22/06/2020,1,18:12:28,18:22:28,00:10:00,1,3,4,no
6414,yes,28/06/2020,Gerhsom,22/06/2020,6,19:33:58,19:34:14,00:00:16,1,10,5,no
6635,yes,26/06/2020,Gerhsom,22/06/2020,4,18:08:27,18:58:59,00:50:32,1,3,0,no
6428,yes,23/06/2020,Zemer,22/06/2020,1,22:05:12,22:05:44,00:00:32,2,4,1,no
6641,yes,25/06/2020,Zemer,22/06/2020,3,21:38:27,21:46,00:07:36,4,8,2,no
6640,yes,22/07/2020,UK cave,19/07/2020,3,20:55:53,20:55:57,00:00:04,2,5,3,no
6485,yes,09/12/2020,Gershom,07/12/2020,2,19:59:45,20:00:49,00:01:04,2,4,2,no
6991,yes,10/12/2020,Gershom,07/12/2020,3,22:45:05,22:47:37,00:02:32,2,4,2,no
6824,yes,08/12/2020,Gershom,07/12/2020,1,19:19:04,19:30:48,00:11:44,2,3,2,yes/no
6993,yes,11/12/2020,Zemer,07/12/2020,4,17:31:12,17:35:28,00:04:16,1,NA,3,yes/no
