"TAG","duration","num_loc","position_qlt","dummy","night_number","time_start","time_end","month","X_tree","Y_tree","tree_sp","cluster_ID","TAG_Night","date_global","Number_of_Nights","cave_origin","geometry","distance_to_ficus"
5154,2,35,0.530323118,"no",2,"22:50:20","22:52:32",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5154_2","2018-07-19",15,"",c(256091.0347, 785269.7231),23.2276059398888
5154,5,43,0.292527952,"no",2,"21:32:58","21:37:52",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5154_2","2018-07-19",15,"",c(256080.729, 785250.2784),28.662570498141
5154,9,135,0.523274068,"no",2,"20:02:30","20:11:06",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5154_2","2018-07-19",15,"",c(256089.6895, 785246.5827),21.065287786765
5154,6,13,0.078316084,"no",2,"21:49:28","21:55:00",7,256132,785266,"Surinam Cherry","Surinam Cherry_56","5154_2","2018-07-19",15,"",c(256107.5509, 785250.4433),4.78156937622006
5154,10,283,0.940232134,"no",2,"20:29:06","20:39:08",7,256132,785266,"Surinam Cherry","Surinam Cherry_56","5154_2","2018-07-19",15,"",c(256137.357, 785252.3643),28.4792268766077
5153,1,8,0.28572449,"no",3,"20:16:18","20:17:14",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5153_3","2018-07-20",13,"Einan",c(256090.2792, 785250.1949),19.3276314806123
5153,0,7,0.466682223,"no",3,"19:24:46","19:25:16",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5153_3","2018-07-20",13,"Einan",c(256102.6794, 785245.1393),11.7125312742085
5150,17,237,0.476885635,"no",3,"23:03:18","23:19:52",7,256118,785292,"Mulberry","Mulberry_495","5150_3","2018-07-20",18,"",c(256114.9052, 785278.4611),24.1928625889553
5154,10,183,0.607994631,"no",3,"20:23:07","20:33:09",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5154_3","2018-07-20",15,"",c(256106.444, 785253.4056),3.01251512193356
5154,27,327,0.39637757,"no",3,"23:53:05","00:20:35",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5154_3","2018-07-20",15,"",c(256127.1674, 785252.1971),18.3823467264183
5150,6,156,0.8571876,"no",3,"23:33:22","23:39:26",7,256118,785292,"Mulberry","Mulberry_495","5150_3","2018-07-20",18,"",c(256105.4706, 785281.652),26.8846753441453
5153,1,9,0.500013889,"no",4,"19:52:15","19:52:51",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5153_4","2018-07-21",13,"",c(256083.187, 785256.3061),25.8460222512061
5150,15,188,0.409607028,"no",4,"19:48:04","20:03:22",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5150_4","2018-07-21",18,"Har Gershom",c(256085.4903, 785271.347),28.6344268859734
5150,14,133,0.313695152,"no",4,"18:31:22","18:45:30",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5150_4","2018-07-21",18,"Har Gershom",c(256106.6692, 785271.98),17.1392248552655
5154,3,22,0.222230079,"no",4,"21:52:52","21:56:10",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5154_4","2018-07-21",15,"",c(256104.1454, 785256.7093),5.14673174450303
5154,7,97,0.455415097,"no",4,"00:37:11","00:44:17",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5154_4","2018-07-21",15,"",c(256123.7884, 785268.3479),19.921425876957
5154,9,175,0.648170954,"no",5,"23:33:37","23:42:37",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5154_5","2018-07-22",15,"",c(256116.8076, 785265.5981),13.1635231366389
5154,4,37,0.349069776,"no",5,"23:54:07","23:57:39",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5154_5","2018-07-22",15,"",c(256096.7689, 785252.7309),12.4397999188196
5150,14,250,0.574743032,"no",5,"23:11:49","23:26:19",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5150_5","2018-07-22",18,"Har Gershom",c(256091.5669, 785253.4359),17.5031249901179
5150,11,129,0.393313068,"no",5,"20:30:57","20:41:53",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5150_5","2018-07-22",18,"Har Gershom",c(256121.3961, 785245.6172),15.5467112615727
5150,14,279,0.654964171,"no",5,"22:07:35","22:21:47",7,256132,785266,"Surinam Cherry","Surinam Cherry_56","5150_5","2018-07-22",18,"Har Gershom",c(256129.81, 785267.8168),24.4402631377132
5154,11,30,0.089288903,"no",7,"21:10:09","21:21:21",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5154_7","2018-07-24",15,"",c(256110.3424, 785251.4299),3.81413840468171
5153,8,188,0.806896389,"no",8,"23:46:38","23:54:24",7,256132,785266,"Surinam Cherry","Surinam Cherry_56","5153_8","2018-07-25",13,"Zemer cave",c(256136.7066, 785261.9318),28.5605590771707
5153,7,183,0.89271341,"no",8,"23:55:34","00:02:24",7,256098,785213,"Melia azedarach","Melia azedarach_439","5153_8","2018-07-25",13,"Zemer cave",c(256093.795, 785235.6378),24.6188304725998
5153,3,62,0.696652696,"no",9,"00:00:57","00:03:55",7,256118,785292,"Mulberry","Mulberry_495","5153_9","2018-07-26",13,"",c(256108.6982, 785278.1055),23.1074709452925
5153,19,502,0.871558797,"no",9,"00:04:57","00:24:09",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5153_9","2018-07-26",13,"",c(256088.0199, 785240.1119),25.7258647593989
5153,2,52,0.7222473,"no",9,"00:30:33","00:32:57",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5153_9","2018-07-26",13,"",c(256090.249, 785246.3276),20.6593930878979
5153,7,125,0.615784781,"no",9,"23:51:13","23:57:59",7,256118,785292,"Mulberry","Mulberry_495","5153_9","2018-07-26",13,"",c(256109.4543, 785276.5836),21.5883806120459
5153,7,187,0.869797784,"no",9,"00:34:09","00:41:19",7,256132,785266,"Surinam Cherry","Surinam Cherry_56","5153_9","2018-07-26",13,"",c(256129.9178, 785271.8794),26.8787741758997
5153,7,171,0.81821118,"no",10,"19:10:02","19:17:00",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5153_10","2018-07-27",13,"Zemer cave",c(256106.6032, 785239.5766),15.6085206793928
5153,11,220,0.681138802,"no",10,"20:49:08","20:59:54",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5153_10","2018-07-27",13,"Zemer cave",c(256116.8458, 785242.6434),14.6370127144023
5153,19,206,0.370516592,"no",10,"22:09:48","22:28:20",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5153_10","2018-07-27",13,"Zemer cave",c(256118.075, 785275.7832),22.6781178063351
5153,5,158,1.000034811,"no",11,"23:12:11","23:17:27",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5153_11","2018-07-28",13,"Zemer cave",c(256088.1354, 785242.0495),24.557014953185
