"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"1","5017","5013","unknown_331",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"2","5013","5015","None",2018-06-29,1,0.6,5,1,1,"yes","Ficus religiosa"
"3","5016","5015","None",2018-07-01,0,0.5,2,0,1,"yes","Ficus religiosa"
"4","5017","5016","unknown_331",2018-06-28,0,1,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"5","5013","5016","Ficus religiosa_17",2018-06-29,0,0.5,6,0,1,"yes","Ficus religiosa"
"6","5016","5017","unknown_331",2018-06-28,0,0,3,0,1,"yes","Ficus religiosa"
"7","5019","5017","Mulberry_350",2018-06-28,0.5,0.25,4,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"8","5017","5018","unknown_331",2018-06-28,0,0.67,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"9","5016","5018","unknown_331",2018-06-28,0,0.2,5,0,1,"yes","Ficus religiosa"
"10","5017","5019","Mulberry_350",2018-06-28,0,0.75,4,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"11","5013","5019","Ficus religiosa_17",2018-06-29,1,0.5,4,1,1,"yes","Ficus religiosa"
"12","5016","5021","Ficus religiosa_19",2018-07-01,0,0,2,0,1,"yes","Ficus religiosa"
"13","5019","5021","Ficus religiosa_19",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"14","5016","5022","unknown_1091",2018-06-28,0,0,3,0,1,"yes","Ficus religiosa"
"15","5019","5022","Ficus religiosa_19",2018-06-28,0.5,0.2,5,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"16","5597","5462","Melia azedarach_640",2018-11-30,0,0.75,4,0,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"17","5597","5473","None",2018-11-23,1,0.75,4,1,1,"yes","Ficus religiosa"
"18","5476","5473","None",2018-11-24,1,0.17,6,1,1,"yes","Ficus religiosa"
"19","5462","5479","None",2018-11-23,0,0,3,0,1,"yes","Ficus religiosa"
"20","5480","5479","None",2018-11-23,0,0.25,4,0,1,"yes","Ficus religiosa"
"21","5483","5480","None",2018-11-24,0,1,1,0,1,"yes","Ficus religiosa"
"22","5462","5483","None",2018-11-23,1,0.25,4,1,1,"yes","Ficus religiosa"
"23","5597","5483","Persimmon_32",2018-11-23,1,0.5,6,1,1,"yes","Ficus religiosa"
"24","5480","5486","None",2018-11-23,0,0.5,4,0,1,"yes","Ficus religiosa"
"25","5462","5589","Melia azedarach_437",2018-11-23,0,0.8,5,0,1,"yes","Ficus religiosa"
"26","5745","5667","None",2019-11-06,0,0.38,8,0,1,"yes","Ficus religiosa"
"27","5778","5667","unknown_91",2019-11-20,0,0.5,4,0,1,"yes","Ficus religiosa"
"28","5764","5685","None",2019-09-24,0,0.8,10,0,1,"yes","Ficus religiosa"
"29","5771","5744","None",2019-11-06,0,0.5,2,0,1,"yes","Ficus sycomorus"
"30","6026","5744","None",2019-11-08,1,0.8,5,1,1,"yes","Ficus religiosa"
"31","5764","5748","Mulberry_755",2019-09-07,0,0.6,5,0,1,"yes","Ficus religiosa"
"32","5781","5749","Loquat_443",2019-11-06,0,0.5,4,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"")"
"33","5771","5751","None",2019-11-06,0,0,2,0,1,"yes","Ficus sycomorus"
"34","6181","5771","None",2019-11-07,0,0.5,2,0,1,"yes","Ficus religiosa"
"35","6245","5778","None",2019-11-06,0,0.33,3,0,1,"yes","Ficus sycomorus"
"36","6246","5778","Ficus carica_414",2019-11-14,1,0.56,9,1,1,"yes","Ficus religiosa"
"37","5777","5779","None",2019-06-09,1,1,1,1,1,"yes","Ficus microcarpa"
"38","5749","5781","Loquat_443",2019-11-06,0,0.5,4,0,1,"yes","Ficus religiosa"
"39","5745","6026","None",2019-11-06,0,0.4,5,0,1,"yes","Ficus religiosa"
"40","5778","6026","unknown_91",2019-11-13,0,0.25,4,0,1,"yes","Ficus religiosa"
"41","6246","6026","None",2019-11-14,0,0,3,0,1,"yes","Ficus religiosa"
"42","5749","6181","Loquat_443",2019-11-06,0,0.75,4,0,1,"yes","Ficus religiosa"
"43","5764","6182","None",2019-09-24,0,1,2,0,1,"yes","Ficus religiosa"
"44","5599","6182","Ficus microcarpa_36",2019-09-23,0,0.75,4,0,2,"yes","Ficus microcarpa"
"45","6181","6245","None",2019-11-07,0,0.33,3,0,1,"yes","Ficus religiosa"
"46","5749","6246","Loquat_443",2019-11-06,0,1,2,0,1,"yes","Ficus religiosa"
"47","5781","6246","Loquat_443",2019-11-06,0,0.67,3,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"")"
"48","6267","6246","None",2019-11-17,0,0.5,2,0,1,"yes","Ficus microcarpa"
"49","5744","6246","unknown_463",2019-11-07,0,0.55,11,0,2,"yes","Ficus religiosa"
"50","5781","6251","None",2019-11-06,0,0.83,6,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"")"
"51","5745","6255","None",2019-11-06,0,1,2,0,1,"yes","Ficus religiosa"
"52","6245","6255","Ficus carica_671",2019-11-06,0,0.33,3,0,1,"yes","Ficus sycomorus"
"53","6251","6258","None",2019-11-08,0,0.25,4,0,1,"yes","Ficus religiosa"
"54","6181","6263","Citrus_12",2019-11-07,0,0.33,3,0,1,"yes","Ficus religiosa"
"55","5745","6265","None",2019-11-06,0,1,4,0,1,"yes","Ficus religiosa"
"56","5781","6267","Mulberry_288",2019-11-11,0,0.8,5,0,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
