"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"1","4444","4429","Mulberry_755",2018-04-25,0,0,1,0,2,"yes","c(""Carob"", ""Palm"")"
"2","4445","4440","None",2018-04-19,0,0.75,4,0,3,"yes","c(""Palm"", ""Carob"", ""Ficus sycomorus"")"
"3","4445","4442","None",2018-04-19,0,0.5,2,0,3,"yes","c(""Palm"", ""Carob"", ""Ficus sycomorus"")"
"4","4444","4442","None",2018-04-21,0.5,0,2,1,2,"yes","c(""Carob"", ""Palm"")"
"5","4445","4444","None",2018-04-19,0,0.5,8,0,3,"yes","c(""Palm"", ""Carob"", ""Ficus sycomorus"")"
"6","4442","4445","None",2018-04-19,0,0.5,2,0,1,"yes","Palm"
"7","4444","4445","None",2018-04-19,0,0.5,8,0,1,"yes","Carob"
"8","4577","4576","None",2018-03-17,0,0,2,0,5,"yes","Palm"
"9","5017","5013","unknown_331",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"10","5022","5013","Ficus religiosa_19",2018-06-30,1,1,4,1,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"11","5016","5013","Ficus religiosa_17",2018-06-29,0,0.5,6,0,1,"yes","Ficus religiosa"
"12","5018","5015","Mulberry_768",2018-06-29,0.5,0.25,4,1,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"13","5013","5015","None",2018-06-29,1,0.6,5,1,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"14","5016","5015","None",2018-07-01,0,0.5,2,0,1,"yes","Ficus religiosa"
"15","5017","5016","unknown_331",2018-06-28,0,1,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"16","5013","5016","Ficus religiosa_17",2018-06-29,0,0.5,6,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"17","5022","5017","None",2018-06-29,0,1,1,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"18","5013","5017","unknown_331",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Carob"")"
"19","5016","5017","unknown_331",2018-06-28,0,0,3,0,2,"yes","Ficus religiosa"
"20","5019","5017","Mulberry_350",2018-06-28,0.5,0.25,4,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"21","5017","5018","unknown_331",2018-06-28,0,0.67,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"22","5013","5018","unknown_331",2018-06-28,0.5,0.2,5,1,2,"yes","c(""Ficus religiosa"", ""Carob"")"
"23","5016","5018","unknown_331",2018-06-28,0.5,0.2,5,1,2,"yes","Ficus religiosa"
"24","5017","5019","Mulberry_350",2018-06-28,0,0.75,4,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"25","5018","5019","unknown_331",2018-06-30,0.5,0.33,6,1,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"26","5013","5019","Ficus religiosa_17",2018-06-29,1,0.5,4,1,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"27","5016","5019","Ficus religiosa_17",2018-06-29,1,0.5,4,1,1,"yes","Ficus religiosa"
"28","5016","5021","Ficus religiosa_19",2018-07-01,0,0,2,0,1,"yes","Ficus religiosa"
"29","5019","5021","Ficus religiosa_19",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"30","5016","5022","unknown_1091",2018-06-28,0.5,0,3,1,2,"yes","Ficus religiosa"
"31","5019","5022","Ficus religiosa_19",2018-06-28,0.5,0.2,5,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"32","5471","5056","None",2018-11-25,0,0.5,2,0,2,"yes","c(""Palm"", ""Carob"")"
"33","5486","5056","None",2018-11-29,0,0.75,4,0,1,"yes","Palm"
"34","5483","5056","None",2018-11-25,0,0.75,4,0,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"35","5425","5056","Melia azedarach_437",2018-11-25,0,0.5,2,0,1,"yes","c(""Ficus religiosa"", ""Palm"")"
"36","5150","5154","None",2018-07-20,1,0,4,1,1,"yes","Ficus sycomorus"
"37","5473","5425","None",2018-11-25,0,1,7,0,3,"yes","c(""Ficus religiosa"", ""Palm"")"
"38","5597","5425","None",2018-11-25,0,1,2,0,1,"yes","Palm"
"39","5486","5425","None",2018-12-09,0,0,1,0,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"40","5056","5425","Melia azedarach_437",2018-11-25,0,0.5,2,0,2,"yes","Palm"
"41","5480","5425","None",2018-11-25,0,1,1,0,1,"yes","c(""Ficus religiosa"", ""Palm"")"
"42","5483","5425","None",2018-11-25,0.5,1,6,1,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"43","5476","5425","Ficus religiosa_19",2018-11-25,0,0.5,6,0,3,"yes","c(""Carob"", ""Ficus religiosa"", ""Palm"")"
"44","5462","5458","None",2018-11-23,0,0.33,3,0,2,"yes","c(""Palm"", ""Ficus religiosa"")"
"45","5597","5458","None",2018-11-23,0,1,3,0,1,"yes","c(""Palm"", ""Ficus religiosa"")"
"46","5486","5458","None",2018-12-07,0,0,1,0,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"47","5056","5458","None",2018-11-25,0,0,2,0,2,"yes","Palm"
"48","5483","5458","Melia azedarach_437",2018-11-23,0.5,0.33,6,1,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"49","5425","5458","None",2018-11-25,0,0,3,0,1,"yes","c(""Ficus religiosa"", ""Palm"")"
"50","5476","5458","None",2018-12-04,0,0,1,0,2,"yes","Palm"
"51","5458","5462","None",2018-11-23,0,0.67,3,0,1,"yes","Palm"
