TAG,duration,num_loc,position_qlt,dummy,medX,medY,night_number,time_start,time_end,month,X_tree,Y_tree,tree_sp,cluster_ID,TAG_Night,date_global,Number_of_Nights,cave_origin
150,1,20,0.869621932,no,256164.4351,785318.1574,2,18:54:42,18:55:28,1,256164,785283,Apple,Apple_33,150_2,2015-01-28,10,Kedesh
150,1,21,0.875054691,no,256158.1118,785326.9223,2,01:13:52,01:14:40,1,256175,785355,Mulberry,Mulberry_498,150_2,2015-01-28,10,Kedesh
150,3,17,0.204834084,no,256164.09,785321.7398,2,20:13:30,20:16:16,1,256175,785355,Mulberry,Mulberry_498,150_2,2015-01-28,10,Kedesh
150,1,28,0.622270621,no,256179.1591,785320.4146,2,23:27:49,23:29:19,1,256209,785340,Ficus carica,Ficus carica_515,150_2,2015-01-28,10,Kedesh
150,2,22,0.360682345,no,256152.1378,785321.8766,2,22:10:43,22:12:45,1,256152.1378,785321.8766,UK,B_150_13,150_2,2015-01-28,10,Kedesh
150,2,9,0.132362674,no,256167.0331,785326.1836,6,17:43:42,17:45:58,2,256175,785355,Mulberry,Mulberry_498,150_6,2015-02-01,10,
150,0,9,0.818256205,no,256176.1393,785321.4042,6,17:15:14,17:15:36,2,256175,785355,Mulberry,Mulberry_498,150_6,2015-02-01,10,
150,1,33,0.785770412,no,256165.3593,785332.4456,6,23:22:14,23:23:38,2,256175,785355,Mulberry,Mulberry_498,150_6,2015-02-01,10,
150,1,19,0.422255064,no,256168.6916,785326.695,7,18:34:41,18:36:11,2,256175,785355,Mulberry,Mulberry_498,150_7,2015-02-02,10,Kedesh
150,3,14,0.184223858,no,256158.8124,785335.6023,7,21:34:18,21:36:50,2,256175,785359,Ficus carica,Ficus carica_515,150_7,2015-02-02,10,Kedesh
150,1,12,0.750070319,no,256158.1397,785323.3519,7,17:01:40,17:02:12,2,256175,785355,Mulberry,Mulberry_498,150_7,2015-02-02,10,Kedesh
150,2,19,0.380026602,no,256170.7169,785319.248,8,21:17:40,21:19:20,2,256175,785355,Mulberry,Mulberry_498,150_8,2015-02-03,10,Kedesh
150,1,10,0.344851369,no,256157.7206,785336.2162,10,19:21:54,19:22:52,2,256175,785355,Mulberry,Mulberry_498,150_10,2015-02-05,10,Kedesh
150,1,9,0.409118804,no,256149.8015,785335.2372,10,21:13:24,21:14:08,2,256175,785355,Mulberry,Mulberry_498,150_10,2015-02-05,10,Kedesh
705,8,130,0.257953398,no,256137.1307,785204.3818,2,18:44:28,18:52:52,4,256115,785218,Mulberry,Mulberry_493,705_2,2016-04-14,12,Kedesh
705,44,361,0.138164577,no,256186.5623,785229.1832,3,23:39:07,00:22:40,4,256171,785226,Loquat,Loquat_376,705_3,2016-04-15,12,Kedesh
705,37,546,0.246851848,no,256187.6057,785218.3036,3,22:57:11,23:34:03,4,256171,785226,Loquat,Loquat_376,705_3,2016-04-15,12,Kedesh
4573,0,2,2.000250031,no,256087.278,785192.3981,4,22:30:17,22:30:25,3,256098,785213,Melia azedarach,Melia azedarach_439,4573_4,2018-03-08,2,Har Gershom
5154,2,33,0.541001344,no,256082.9319,785302.4775,2,21:11:28,21:13:30,7,256094,785316,Mulberry,Mulberry_495,5154_2,2018-07-19,15,
5154,2,47,1.000031916,no,256136.9496,785291.8237,2,21:56:18,21:57:52,7,256118,785292,Mulberry,Mulberry_495,5154_2,2018-07-19,15,
5154,4,88,0.651875995,no,256144.2488,785266.6784,2,21:39:02,21:43:32,7,256132,785266,Surinam Cherry,Surinam Cherry_56,5154_2,2018-07-19,15,
5154,2,35,0.530323118,no,256091.0347,785269.7231,2,22:50:20,22:52:32,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5154_2,2018-07-19,15,
5154,5,43,0.292527952,no,256080.729,785250.2784,2,21:32:58,21:37:52,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5154_2,2018-07-19,15,
5154,9,135,0.523274068,no,256089.6895,785246.5827,2,20:02:30,20:11:06,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5154_2,2018-07-19,15,
5154,2,37,0.755132863,no,256077.3211,785254.4639,2,22:54:36,22:56:14,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5154_2,2018-07-19,15,
5154,9,125,0.456220197,no,256189.0892,785271.481,2,20:12:44,20:21:52,7,256186,785255,Loquat,Loquat_376,5154_2,2018-07-19,15,
5154,2,16,0.33334375,no,256136.1459,785300.6371,2,21:08:50,21:10:26,7,256118,785292,Mulberry,Mulberry_495,5154_2,2018-07-19,15,
5154,3,70,0.875032814,no,256093.5311,785290.7445,2,23:11:28,23:14:08,7,256118,785292,Mulberry,Mulberry_495,5154_2,2018-07-19,15,
5154,5,39,0.286774195,no,256161.6753,785302.9668,2,21:15:12,21:19:44,7,256164,785283,Apple,Apple_33,5154_2,2018-07-19,15,
5154,4,33,0.266137617,no,256076.1081,785233.7261,2,20:23:20,20:27:28,7,256098,785213,Melia azedarach,Melia azedarach_439,5154_2,2018-07-19,15,
5154,3,55,0.632205708,no,256203.5616,785276.5266,2,21:44:34,21:47:28,7,256186,785255,Loquat,Loquat_376,5154_2,2018-07-19,15,
5154,6,43,0.247135669,no,256166.5721,785274.095,2,22:57:30,23:03:18,7,256154,785272,Mulberry,Mulberry_494,5154_2,2018-07-19,15,
5154,6,13,0.078316084,no,256107.5509,785250.4433,2,21:49:28,21:55:00,7,256132,785266,Surinam Cherry,Surinam Cherry_56,5154_2,2018-07-19,15,
5154,27,489,0.595636143,no,256180.8018,785268.7665,2,20:40:10,21:07:32,7,256186,785255,Loquat,Loquat_376,5154_2,2018-07-19,15,
5154,10,283,0.940232134,no,256137.357,785252.3643,2,20:29:06,20:39:08,7,256132,785266,Surinam Cherry,Surinam Cherry_56,5154_2,2018-07-19,15,
5154,4,53,0.417337622,no,256177.378,785316.4887,2,23:05:42,23:09:56,7,256164,785283,Apple,Apple_33,5154_2,2018-07-19,15,
5150,2,10,0.185193759,no,256149.0676,785315.14,3,21:24:14,21:26:02,7,256118,785292,Mulberry,Mulberry_495,5150_3,2018-07-20,18,
5150,24,478,0.676131087,no,256025.5225,785205.0755,3,22:11:18,22:34:52,7,256015,785234,Mulberry,Mulberry_505,5150_3,2018-07-20,18,
5150,25,636,0.852590918,no,256116.5954,785285.7165,3,21:45:16,22:10:08,7,256118,785292,Mulberry,Mulberry_495,5150_3,2018-07-20,18,
5150,9,178,0.674276904,no,256062.2826,785263.4184,3,20:55:32,21:04:20,7,256031,785277,Melia azedarach,Melia azedarach_438,5150_3,2018-07-20,18,
5150,14,215,0.516853635,no,256057.391,785233.2744,3,19:23:02,19:36:54,7,256032,785251,Ficus carica,Ficus carica_512,5150_3,2018-07-20,18,
5150,16,331,0.668721993,no,256045.6229,785223.7464,3,19:37:56,19:54:26,7,256032,785251,Ficus carica,Ficus carica_512,5150_3,2018-07-20,18,
5150,10,205,0.663464775,no,256094.8185,785282.9799,3,20:32:28,20:42:46,7,256118,785292,Mulberry,Mulberry_495,5150_3,2018-07-20,18,
5150,1,36,0.878091614,no,256152.8999,785312.5508,3,19:08:56,19:10:18,7,256164,785283,Apple,Apple_33,5150_3,2018-07-20,18,
5153,1,8,0.28572449,no,256090.2792,785250.1949,3,20:16:18,20:17:14,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5153_3,2018-07-20,13,Einan
5153,0,7,0.466682223,no,256102.6794,785245.1393,3,19:24:46,19:25:16,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5153_3,2018-07-20,13,Einan
5150,1,22,0.594618701,no,256190.0338,785308.6009,3,23:01:00,23:02:14,7,256164,785283,Apple,Apple_33,5150_3,2018-07-20,18,
5150,5,74,0.510371226,no,256018.312,785239.9047,3,20:45:56,20:50:46,7,256015,785234,Mulberry,Mulberry_505,5150_3,2018-07-20,18,
5150,6,44,0.263486465,no,256062.1482,785267.5605,3,23:20:58,23:26:32,7,256032,785251,Ficus carica,Ficus carica_512,5150_3,2018-07-20,18,
5150,1,30,0.731743012,no,256015.7466,785246.3086,3,23:44:20,23:45:42,7,256015,785234,Mulberry,Mulberry_505,5150_3,2018-07-20,18,
5150,6,74,0.440498478,no,256159.0421,785332.6202,3,20:11:58,20:17:34,7,256175,785355,Mulberry,Mulberry_498,5150_3,2018-07-20,18,
